description,sel_qty,title,url,price,outofstock,img_urls,oldprice
"Tasty Bites <br/>
Lotus Leaf <br/>
<span style= ""color: gray""> 250G </span>",0,T/Bites Lotus Leaf 250G,https://allforyou.sg/chilled-pastry,$1.35,False,https://a4ucontent.blob.core.windows.net/images/0014411_0.png,
"Kong Guan<br/>
Lor Mai Kai<br/>
<span style= ""color: grey"">135G</span>",0,KG Lo Mai Kai 135G,https://allforyou.sg/chilled-pastry,$1.20,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,
"Kong Guan <br/>
Glutinous Rice <br/>
<span style= ""color: gray""> 135G </span>",0,Kong Guan Glu Rice 135G,https://allforyou.sg/chilled-pastry,$1.10,False,https://a4ucontent.blob.core.windows.net/images/0047755_0.png,
"Kong Guan<br/>
Lotus Leaf Rice<br/>
<span style= ""color: grey"">135G</span>",0,Kong Guan Lotus Leaf Rice 135G,https://allforyou.sg/chilled-pastry,$1.50,False,https://a4ucontent.blob.core.windows.net/images/0016844_0.png,
"Kong Guan <br/>
Fan Choy <br/>
<span style= ""color: gray""> 240G </span>",0,Kong Guan Fan Choy 240G,https://allforyou.sg/chilled-pastry,$1.50,False,https://a4ucontent.blob.core.windows.net/images/0016842_0.png,
"Kong Guan <br/>
Chicken Siew Mai <br/>
<span style= ""color: gray""> 250G </span>",0,KG Chicken Siew Mai 250G,https://allforyou.sg/chilled-pastry,$3.95,False,https://a4ucontent.blob.core.windows.net/images/0033670_0.png,
"Kong Guan <br/>
Tau Sar Pau (Halal) <br/>
<small><span style= ""color: gray""> 360g </span></small>",0,KG Tau Sar Pau 360G,https://allforyou.sg/chilled-pastry,$2.10,False,https://a4ucontent.blob.core.windows.net/images/0033669_0.png,
"Kong Guan<br/>
Chicken Pau (Halal)<br/>
<span style= ""color: grey"">360G</span>",0,KG Chicken Pau 360G,https://allforyou.sg/chilled-pastry,$3.40,False,https://a4ucontent.blob.core.windows.net/images/0033674_0.png,
"Kong Guan <br/>
Honey Chicken Pau (Halal) <br/>
<span style= ""color: gray""> 360G </span>",0,KG Honey Chicken Pau 360G,https://allforyou.sg/chilled-pastry,$3.40,False,https://a4ucontent.blob.core.windows.net/images/0034972_0.png,
"Kong Guan <br/>
Chicken Siew Mai <br/>
<span style= ""color: gray""> 250G </span>",0,Kong Guan Chicken Siew Mai 250G,https://allforyou.sg/chilled-pastry,$3.50,False,https://a4ucontent.blob.core.windows.net/images/0041822_0.png,
